filename,cleanup content,directory,cluster
72854667_2.txt,hssfpalette palette getworkbook getcustompalette hssfcolor color palette getcolor colorindex,HSSFPalette,7.0
126772704_1.txt,hssfpalette palette workbook getcustompalette hssfcolor result palette findcolor rgbbyte 0 rgbbyte 1 rgbbyte 2 result palette findsimilarcolor rgbbyte 0 rgbbyte 1 rgbbyte 2,HSSFPalette,1.0
121321564_1.txt,hssfpalette custompalette hssfworkbook designer workbook getcustompalette hssfcolor hssfcolor custompalette getcolor c,HSSFPalette,2.0
126772704_2.txt,hssfpalette palette hssfworkbook wb getcustompalette fgrgb palette getcolor font getcolor gettriplet,HSSFPalette,4.0
99946830_1.txt,hssfpalette palette workbook getcustompalette palette setcoloratindex short 9 byte 220 byte 240 byte 138,HSSFPalette,9.0
99946782_1.txt,hssfpalette palette wb getcustompalette palette setcoloratindex short 9 byte 220 byte 240 byte 138,HSSFPalette,10.0
103223911_1.txt,hssfpalette palette hssfworkbook book getcustompalette colorindex palette findsimilarcolor color getred color getgreen color getblue getindex,HSSFPalette,8.0
97401500_1.txt,hssfpalette pallette wb getcustompalette return pallette getcolor getcolor,HSSFPalette,5.0
112283811_1.txt,private static hssfpalette palette hssfcolor color palette getcolor index,HSSFPalette,6.0
122565152_2.txt,hssfpalette palette hssfworkbook wb getcustompalette fgrgb palette getcolor font getcolor gettriplet,HSSFPalette,4.0
92131933_1.txt,private hssfpalette palette palette setcoloratindex byte curcolorindex byte red byte green byte blue,HSSFPalette,14.0
122565152_1.txt,hssfpalette palette workbook getcustompalette hssfcolor result palette findcolor rgbbyte 0 rgbbyte 1 rgbbyte 2 palette setcoloratindex paletteindex rgbbyte 0 rgbbyte 1 rgbbyte 2 result palette findsimilarcolor rgbbyte 0 rgbbyte 1 rgbbyte 2,HSSFPalette,1.0
64531463_2.txt,hssfpalette palette workbook getcustompalette palette addcolor byte 111 byte 123 byte 146,HSSFPalette,13.0
64531463_1.txt,hssfpalette palette workbook getcustompalette system out println palette palette tostring cell setcellvalue palette getcolor i null null palette getcolor i gethexstring,HSSFPalette,3.0
76100200_1.txt,hssfpalette palette hssfworkbook xlworkbook getcustompalette palette setcoloratindex short 55 colorindex indexof swtcolor,HSSFPalette,11.0
110498463_1.txt,private static hssfpalette palette hssfcolor color palette getcolor index,HSSFPalette,6.0
68613461_1.txt,boolerrrecord berec boolerrrecord record thisrow berec getrow thiscolumn berec getcolumn,BoolErrRecord,1.0
15642458_1.txt,boolerrrecord rec new boolerrrecord rec field 1 row field 1 row rec field 2 column field 2 column rec field 3 xf index field 3 xf index rec field 4 bboolerr field 4 bboolerr rec field 5 ferror field 5 ferror,BoolErrRecord,2.0
15642303_3.txt,boolerrrecord errrec null errrec setcolumn col errrec setvalue geterrorcellvalue errrec setxfindex styleindex errrec setrow row,BoolErrRecord,2.0
15642303_2.txt,boolerrrecord boolrec null boolrec setcolumn col boolrec setvalue getbooleancellvalue boolrec setxfindex styleindex boolrec setrow row,BoolErrRecord,2.0
15642303_1.txt,boolerrrecord boolerrrecord boolerrrecord record retval boolerrrecord isboolean,BoolErrRecord,1.0
