filename, directory, cluster
15642303_1.txt, AreaReference, 3
15642365_1.txt, AreaReference, 3
15642343_1.txt, AreaReference, 3
12208676_1.txt, AreaReference, 3
12440188_1.txt, EscherDgRecord, 2
68613461_1.txt, EscherDgRecord, 1
15642598_1.txt, EscherDgRecord, 3
12440192_1.txt, EscherDgRecord, 3
92669291_1.txt, EscherDgRecord, 6
12440044_1.txt, EscherDgRecord, 1
111785559_1.txt, EscherDgRecord, 5
112311786_1.txt, EscherDgRecord, 4
12440188_1.txt, ObjRecord, 1
68613461_1.txt, ObjRecord, 3
15642598_1.txt, ObjRecord, 3
12440192_1.txt, ObjRecord, 3
92669291_1.txt, ObjRecord, 6
12440044_1.txt, ObjRecord, 3
111785559_1.txt, ObjRecord, 5
112311786_1.txt, ObjRecord, 4
73315299_2.txt, ObjRecord, 3
73315299_1.txt, ObjRecord, 2
12440188_1.txt, XWPFTableRow, 2
68613461_1.txt, XWPFTableRow, 2
15642598_1.txt, XWPFTableRow, 1
12440192_1.txt, XWPFTableRow, 2
92669291_1.txt, XWPFTableRow, 2
12440044_1.txt, XWPFTableRow, 2
111785559_1.txt, XWPFTableRow, 2
112311786_1.txt, XWPFTableRow, 2
73315299_2.txt, XWPFTableRow, 2
73315299_1.txt, XWPFTableRow, 1
94171992_1.txt, XWPFTableRow, 2
61719045_1.txt, XWPFTableRow, 2
15642330_1.txt, XWPFTableRow, 2
558689_1.txt, XWPFTableRow, 2
133035254_1.txt, XWPFTableRow, 2
15642409_2.txt, XWPFTableRow, 2
66638946_1.txt, XWPFTableRow, 2
15642409_1.txt, XWPFTableRow, 1
3760572_1.txt, XWPFTableRow, 2
15642594_1.txt, XWPFTableRow, 2
15642593_1.txt, XWPFTableRow, 2
15642365_1.txt, XWPFTableRow, 2
15642365_2.txt, XWPFTableRow, 2
68613461_1.txt, XWPFTableRow, 2
12440188_1.txt, FormulaRecord, 3
68613461_1.txt, FormulaRecord, 1
15642598_1.txt, FormulaRecord, 2
12440192_1.txt, FormulaRecord, 1
92669291_1.txt, FormulaRecord, 1
12440044_1.txt, FormulaRecord, 1
